DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2023-12-07;WDOF24;0;4907,000;2;090043373;160;1;2023-12-07;39;23
2023-12-07;WDOF24;0;4907,000;1;090043373;170;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;1;090043373;180;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;190;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;200;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;210;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;1;090043373;220;1;2023-12-07;88;23
2023-12-07;WDOF24;0;4907,000;3;090043373;230;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;3;090043373;240;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;3;090043373;250;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;1;090043373;260;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;3;090043373;270;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;21;090043373;280;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;290;1;2023-12-07;39;23
2023-12-07;WDOF24;0;4907,000;1;090043373;300;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;100;090043373;310;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;1;090043373;320;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;3;090043373;330;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;3;090043373;340;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;14;090043373;350;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;1;090043373;360;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;24;090043373;370;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;2;090043373;380;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;10;090043373;390;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;5;090043373;400;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;410;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;2;090043373;420;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;25;090043373;430;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;1;090043373;440;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;30;090043373;450;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;4;090043373;460;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;1;090043373;470;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;2;090043373;480;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;4;090043373;490;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;5;090043373;500;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;20;090043373;510;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;520;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;2;090043373;530;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;3;090043373;540;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;3;090043373;550;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;10;090043373;560;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;10;090043373;570;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;580;1;2023-12-07;3701;23
2023-12-07;WDOF24;0;4907,000;1;090043373;590;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;1;090043373;600;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;2;090043373;610;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;2;090043373;620;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;10;090043373;630;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;2;090043373;640;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;2;090043373;650;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;2;090043373;660;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;20;090043373;670;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;1;090043373;680;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;6;090043373;690;1;2023-12-07;93;23
2023-12-07;WDOF24;0;4907,000;4;090043373;700;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;2;090043373;710;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;5;090043373;720;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;50;090043373;730;1;2023-12-07;3701;23
2023-12-07;WDOF24;0;4907,000;4;090043373;740;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;2;090043373;750;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;2;090043373;760;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;5;090043373;770;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;20;090043373;780;1;2023-12-07;3701;23
2023-12-07;WDOF24;0;4907,000;1;090043373;790;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;4;090043373;800;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;810;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;10;090043373;820;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;1;090043373;830;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;2;090043373;840;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;10;090043373;850;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;5;090043373;860;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;870;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;5;090043373;880;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;1;090043373;890;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;5;090043373;900;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;40;090043373;910;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;3;090043373;920;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;930;1;2023-12-07;39;23
2023-12-07;WDOF24;0;4907,000;2;090043373;940;1;2023-12-07;262;23
2023-12-07;WDOF24;0;4907,000;1;090043373;950;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;1;090043373;960;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;20;090043373;970;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;20;090043373;980;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;1;090043373;990;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1000;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1010;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;2;090043373;1020;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;10;090043373;1030;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1040;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;10;090043373;1050;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;10;090043373;1060;1;2023-12-07;3701;23
2023-12-07;WDOF24;0;4907,000;2;090043373;1070;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;4;090043373;1080;1;2023-12-07;147;23
2023-12-07;WDOF24;0;4907,000;50;090043373;1090;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1100;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;4;090043373;1110;1;2023-12-07;88;23
2023-12-07;WDOF24;0;4907,000;150;090043373;1120;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;50;090043373;1130;1;2023-12-07;88;23
2023-12-07;WDOF24;0;4907,000;5;090043373;1140;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;5;090043373;1150;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;45;090043373;1160;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1170;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;10;090043373;1180;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;15;090043373;1190;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;2;090043373;1200;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;4;090043373;1210;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;3;090043373;1220;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;5;090043373;1230;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;15;090043373;1240;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1250;1;2023-12-07;1099;23
2023-12-07;WDOF24;0;4907,000;2;090043373;1260;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1270;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1280;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1290;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1300;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;2;090043373;1310;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;5;090043373;1320;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;4;090043373;1330;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;22;090043373;1340;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1350;1;2023-12-07;1982;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1360;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;2;090043373;1370;1;2023-12-07;85;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1380;1;2023-12-07;308;23
2023-12-07;WDOF24;0;4907,000;1;090043373;1390;1;2023-12-07;4090;23
2023-12-07;WDOF24;0;4907,000;2;090043373;1400;1;2023-12-07;3;23
2023-12-07;WDOF24;0;4907,000;3;090043373;1410;1;2023-12-07;120;23
2023-12-07;WDOF24;0;4907,000;2;090043373;1420;1;2023-12-07;120;107
2023-12-07;WDOF24;0;4907,000;10;090043373;1430;1;2023-12-07;4090;107
2023-12-07;WDOF24;0;4907,000;5;090043373;1440;1;2023-12-07;4090;107
2023-12-07;WDOF24;0;4907,000;30;090043373;1450;1;2023-12-07;4090;3
2023-12-07;WDOF24;0;4907,000;215;090043373;1460;1;2023-12-07;4090;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1470;1;2023-12-07;93;122
2023-12-07;WDOF24;0;4907,000;2;090043373;1480;1;2023-12-07;90;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1490;1;2023-12-07;3;122
2023-12-07;WDOF24;0;4907,000;2;090043373;1500;1;2023-12-07;308;122
2023-12-07;WDOF24;0;4907,000;40;090043373;1510;1;2023-12-07;120;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1520;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1530;1;2023-12-07;85;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1540;1;2023-12-07;3;122
2023-12-07;WDOF24;0;4907,000;1;090043373;1550;1;2023-12-07;88;122
